outfit_id,missing_product
0,15379678
1,17173075
2,14161732
3,16756133
7,15516565
8,14690634
9,16605139
15,16946883
22,13699829
24,15507111
25,16219406
27,17135729
37,15934123
42,17345216
45,16196470
47,16193356
59,15094516
60,16559571
61,16622364
63,14579486
74,14461176
75,17118246
78,16174600
89,16071511
96,16188668
105,14036047
106,15487692
107,15182536
108,16320718
112,14809531
113,16692124
118,14076190
120,16102524
128,17693220
131,15553724
132,13510908
137,17825253
142,18121030
143,16907155
147,14195510
148,17124449
168,16835568
183,17430983
186,14460957
189,17018322
192,16176958
196,16299303
200,17503054
204,13636323
207,15487692
209,16385751
211,16826015
214,17253466
218,17685382
220,17654194
221,15379623
234,16653941
236,13693478
244,16347803
252,14809667
258,16103301
262,12453306
266,15853185
274,14846431
279,16103119
287,15754169
301,15152856
304,18237290
317,16275242
319,15876314
322,14357866
324,16508192
327,17218569
328,16158211
329,15661586
338,14734815
340,16693804
342,16403484
343,15182536
349,14836987
353,13632588
365,15998798
367,17035980
385,17233425
392,16384928
394,17655983
399,15574598
407,14373593
415,13258785
421,15462569
423,16893431
424,17145088
425,16229427
426,18284683
429,15489513
438,15074239
439,17652931
442,14772922
443,14786441
448,16398783
461,15942238
464,16750882
472,16825957
477,17026233
496,16311148
500,16342584
504,18018129
509,15855934
513,14357866
514,16464948
515,15780875
519,16819216
522,15166011
523,17148616
527,14622180
533,14195510
546,17226341
560,17709651
565,13862986
567,17056252
570,17154481
571,13994667
573,16947920
576,15714177
587,16816013
592,17255589
594,16760767
600,16570430
601,15887724
612,16543796
630,15621879
633,16112156
634,16471300
639,15013185
642,14836987
644,15378246
654,18185472
659,14809525
660,16447593
661,14819727
666,13573745
668,17655973
674,17002655
678,17260107
679,14461038
682,14167043
686,15047270
688,17289238
690,11168009
694,16029480
696,16827153
702,14075319
704,16781135
710,17222672
712,15410473
717,14772215
741,15427650
742,14771869
743,17819681
752,14730323
768,16162318
782,17762255
785,13999842
787,15427650
792,15272857
797,17034642
800,15784244
803,13310456
809,15225620
815,16696783
827,16945010
828,14771765
833,14677268
834,13344436
841,16505458
844,17981967
